Country Name,Indicator Name,2018,2019,2020,2021,2022
Kyrgyz Republic,GDP (current US$),8271106235,9371275264,8270468614,9249133946,12134931018
Lao PDR,GDP (current US$),18141641090,18740561513,18981805250,18827148531,15468785204
Latin America & Caribbean,GDP (current US$),5.74237E+12,5.65984E+12,4.80592E+12,5.58181E+12,6.34559E+12
Latvia,GDP (current US$),33247935477,33099503951,33379927435,38183326785,38014713596
Lebanon,GDP (current US$),54901519156,51605959131,31712128254,23131941557,20992421949
Lesotho,GDP (current US$),2556247292,2390702296,2053699870,2412130022,2354980884
Liberia,GDP (current US$),3422754800,3319596500,3176126300,3513049500,4001047000
Libya,GDP (current US$),76686029772,69254496472,46854285441,35217995647,43246297922
Lithuania,GDP (current US$),54261795149,55122066226,57412038533,67037321009,71033884500
Luxembourg,GDP (current US$),71085623495,69872035114,73670782100,86386759695,80801680397
Macao,GDP (current US$),55190661340,55082293844,25343525936,30969334705,24999113476
Madagascar,GDP (current US$),13760033282,14104664679,13051441204,14354731964,15325603273
Malawi,GDP (current US$),9879231592,11051865580,11769313598,12378129751,12429060151
Malaysia,GDP (current US$),3.58789E+11,3.65178E+11,3.37456E+11,3.73785E+11,4.07606E+11
Maldives,GDP (current US$),5404344163,5726094799,3712604583,5252457370,6177118114
Mali,GDP (current US$),20368015381,20477421885,20698560939,22999245263,22374051350
Malta,GDP (current US$),16153779511,16337793531,16409900599,19723563355,19239187084
Mauritania,GDP (current US$),7473550557,7894764886,8260752385,9222536364,9557966698
Mauritius,GDP (current US$),14735695931,14436346980,11408106446,11484348858,12907767790
Mexico,GDP (current US$),1.2563E+12,1.30411E+12,1.12106E+12,1.31657E+12,1.46646E+12
"Micronesia, Fed. Sts.",GDP (current US$),392000000,394000000,372902690,391601947,415956896.5
"Middle East, North Africa, Afghanistan & Pakistan",GDP (current US$),4.02397E+12,3.98948E+12,3.56102E+12,4.27946E+12,4.99405E+12
Moldova,GDP (current US$),11252353421,11736797055,11530746234,13691869264,14525337524
Mongolia,GDP (current US$),13178094720,14206359018,13312981429,15286441738,17146471714
Morocco,GDP (current US$),1.27341E+11,1.2892E+11,1.21354E+11,1.42022E+11,1.30952E+11
Mozambique,GDP (current US$),15017358953,15512759047,14235420174,16168055475,18883528581
Myanmar,GDP (current US$),67860515990,75065106228,79006113643,66345291160,62253049892
Namibia,GDP (current US$),13682019076,12541928303,10583748542,12402486184,12569449123
Nepal,GDP (current US$),33111525237,34186180699,33433659301,36924841394,41182939601
Netherlands,GDP (current US$),9.29734E+11,9.28903E+11,9.32561E+11,1.05447E+12,1.04654E+12
New Caledonia,GDP (current US$),9896402284,9475655325,9454629468,10071349664,9623318718
New Zealand,GDP (current US$),2.11986E+11,2.13006E+11,2.1303E+11,2.53978E+11,2.4951E+11
Nicaragua,GDP (current US$),13025221974,12699023614,12726422432,14209020362,15634572502
Niger,GDP (current US$),12837307497,12889555561,13744653103,14915002436,15433852714
Nigeria,GDP (current US$),4.21739E+11,4.74517E+11,4.32199E+11,4.40834E+11,4.77403E+11
North America,GDP (current US$),2.23891E+13,2.32911E+13,2.30167E+13,2.57108E+13,2.82052E+13
North Macedonia,GDP (current US$),12683068114,12606338449,12361036914,14000283827,13932436550
Norway,GDP (current US$),4.39789E+11,4.08743E+11,3.67633E+11,5.03368E+11,5.96298E+11
Occ.Pal.Terr,GDP (current US$),16276600000,17133500000,15531700000,18109000000,19165500000
Oman,GDP (current US$),91505851756,88060858257,75909492848,87323797139,1.09853E+11
Pakistan,GDP (current US$),3.56128E+11,3.20909E+11,3.00426E+11,3.48517E+11,3.7489E+11
Palau,GDP (current US$),288546300,281941600,258990800,235752900,255591100
Panama,GDP (current US$),67316471200,69778991200,57059846500,67396392500,76276116700
Papua New Guinea,GDP (current US$),24109780708,24750626030,23848447850,26109413521,31653185953
Paraguay,GDP (current US$),40225448341,37925338329,35432178068,39950899939,41952910858
Peru,GDP (current US$),2.22597E+11,2.28346E+11,2.0141E+11,2.26329E+11,2.46066E+11
Philippines,GDP (current US$),3.46842E+11,3.76823E+11,3.61751E+11,3.94087E+11,4.04353E+11
Poland,GDP (current US$),5.94617E+11,6.02684E+11,6.05914E+11,6.8917E+11,6.95608E+11
Portugal,GDP (current US$),2.42093E+11,2.40116E+11,2.29619E+11,2.56056E+11,2.56899E+11
Qatar,GDP (current US$),1.83335E+11,1.76371E+11,1.44411E+11,1.79732E+11,2.35709E+11
Russian Federation,GDP (current US$),1.65733E+12,1.69312E+12,1.49308E+12,1.82919E+12,2.29161E+12
Rwanda,GDP (current US$),9637904519,10349300277,10174386855,11078787095,13316161006
Samoa,GDP (current US$),878448433.4,912950466.1,868898358.3,843923638.7,832945205.6
Sao Tome and Principe,GDP (current US$),383717327.8,412976082.6,471229484.6,524402455.5,540809499.2
Saudi Arabia,GDP (current US$),8.86565E+11,8.8889E+11,7.67951E+11,9.82661E+11,1.23908E+12
Senegal,GDP (current US$),23116701556,23403995992,24530513038,27520784130,27783332223
Seychelles,GDP (current US$),1784313927,1868690097,1382551752,1487173795,2018346589
Sierra Leone,GDP (current US$),6390514689,6526183564,6693888876,7173379137,7124465160
Singapore,GDP (current US$),3.77124E+11,3.76162E+11,3.49166E+11,4.36591E+11,5.09018E+11
Slovak Republic,GDP (current US$),1.06612E+11,1.05843E+11,1.07733E+11,1.20561E+11,1.15884E+11
Slovenia,GDP (current US$),53689067640,53909922736,53384760135,61529280461,59927702746
Solomon Islands,GDP (current US$),1615478393,1619155017,1536145814,1522794913,1566360686
South Africa,GDP (current US$),4.05261E+11,3.8933E+11,3.37975E+11,4.20887E+11,4.0692E+11
South Asia,GDP (current US$),3.15984E+12,3.31848E+12,3.17277E+12,3.71705E+12,3.93064E+12
Spain,GDP (current US$),1.43164E+12,1.4035E+12,1.28978E+12,1.46124E+12,1.4465E+12
Sri Lanka,GDP (current US$),94450015983,88998706297,84335574582,88556698938,74143020263
St. Kitts and Nevis,GDP (current US$),1076548148,1107855556,883922222.2,858622222.2,980188888.9
St. Lucia,GDP (current US$),2060955556,2095344444,1499274074,1867185185,2342714815
St. Vincent and the Grenadines,GDP (current US$),884329629.6,910481481.5,864566666.7,888677777.8,989188888.9
Sub-Saharan Africa,GDP (current US$),1.79013E+12,1.84304E+12,1.7307E+12,1.94372E+12,2.08528E+12
Suriname,GDP (current US$),3996198867,4016040575,2911807496,3107923198,3791603200
Sweden,GDP (current US$),5.51312E+11,5.32169E+11,5.45148E+11,6.37187E+11,5.79896E+11
Switzerland,GDP (current US$),7.25569E+11,7.21369E+11,7.41999E+11,8.15309E+11,8.28509E+11
Syrian Arab Republic,GDP (current US$),21497782868,22583045060,12047752036,14353205678,23622827080
Tajikistan,GDP (current US$),7764999999,8300813599,8133963551,8937805347,10713525200
Tanzania,GDP (current US$),57003712892,61026731926,66068737786,70655628148,75769974505
Thailand,GDP (current US$),5.06754E+11,5.43977E+11,5.00462E+11,5.06195E+11,4.95645E+11
Togo,GDP (current US$),7029300383,6992700101,7400284168,8342243646,8169476149
Tonga,GDP (current US$),489714529.8,494197854,496856303.9,518228028.7,518180029.4
Trinidad and Tobago,GDP (current US$),23888910152,23588037787,20991339707,24177305760,28510328245
Tunisia,GDP (current US$),42686504460,41905642419,42491780918,47073234359,44948769171
Turkey,GDP (current US$),7.78972E+11,7.61006E+11,7.20338E+11,8.19865E+11,9.07118E+11
Turkmenistan,GDP (current US$),40765428571,45232857143,45818000000,50007428571,58972000000
Turks and Caicos Isl.,GDP (current US$),1314329000,1371838000,918387000,1236459000,1434119000
Tuvalu,GDP (current US$),48015259.88,54123198.57,51746594.31,60196405.71,59065982.09
Uganda,GDP (current US$),32927025620,35353061008,37600368240,40529788744,45565333216
