Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,GDP (current US$),2644554159,3083822112,3790636324,3942876704,4146464587,4160129175,4259259604,4730599122,4847757218,5020265627,4790481509,5484263347,5788329609,5489608300,5438863983,7511582173,8957467707,9918907108,9919158482,10567270656,10730829116,10118459242,12637273429,15110643612,13907464500,14271738933,15470088501,13530748845,15082637184,16105155857,17031943186,16725908149,14960251611,18750182235,20321150598
Brazil,GDP (current US$),3.07882E+11,4.12991E+11,3.8496E+11,3.42534E+11,3.28192E+11,3.68292E+11,5.25369E+11,7.69333E+11,8.50426E+11,8.83206E+11,8.63711E+11,5.99642E+11,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12
Brunei,GDP (current US$),4535130305,4983622881,6039881087,6284497300,6327966445,6203339925,6467782521,7700144057,7663377277,7793034390,5550846025,6309070375,6570999060,6096155748,6333082879,7167725265,8619178799,10547202612,12644616446,13432029496,15926456492,11912904529,13707121031,18524791071,19048443340,18094148099,17097797372,12930296852,11400266055,12128168047,13566908401,13469235348,12005799664,14006496614,16681536443
Bulgaria,GDP (current US$),22555941176,21988444444,20632090909,7628738475,8602887623,10832064942,9709240034,18991484420,12294964838,11316127379,15031055047,13637098579,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44431257129,54480684188,52023801230,50689051382,57681293007,54297052002,55819262375,57080897012,50765918159,53929397039,59167647388,66251582036,68634004792,70550652467,84414122840,90509236929
Burkina Faso,GDP (current US$),2616040479,2615587734,3101300779,3135045584,3356692505,3199536465,1895290637,2379517975,2586550595,2447669102,2804902367,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813503,17725010533,19697516284,18820218691
Burundi,GDP (current US$),1082403220,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828
Cambodia,GDP (current US$),1662877859,1353137648,1402541177,2054974089,2491486594,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3694168979,4145665970,4501227627,5046693484,5883297160,7066296463,8350531017,10127916460,12174303999,12502901170,13808673288,16032622024,17826536700,19807135253,22041463968,24174170369,26556545153,29355665910,33145892169,36685356408,34818073901,36790163687,39994532960
Cameroon,GDP (current US$),12236057362,11012566195,12314482628,11840192296,12071775335,16181814713,8902446252,10864772471,11093538846,10789458433,11298144990,11565826465,10566579295,10953485349,12417251350,15970315035,18826214136,19509852207,20910512975,23928250433,27715142033,27932970317,27507501821,30630910495,30155062329,33728621180,36386544706,32210233020,33814337044,36098547033,39955552190,39667757528,40773241177,45011937347,44347206073
Canada,GDP (current US$),5.0938E+11,5.67212E+11,5.96076E+11,6.12528E+11,5.94387E+11,5.79054E+11,5.79944E+11,6.05961E+11,6.30608E+11,6.54987E+11,6.34E+11,6.78412E+11,7.44773E+11,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74373E+12,1.65568E+12,2.02238E+12,2.19041E+12
Cape Verde,GDP (current US$),264308140.3,267448571.4,306890962.7,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979269.8,490608657.9,521910560.5,592416703.1,539227277.6,563090490.4,620507387.5,813260468.9,924940011.8,972241676.9,1107571458,1649621739,1959620648,1852334575,1824751468,2046817987,1913081210,2028910915,2041930125,1749857620,1849789986,1996741540,2205099507,2252177124,1821565614,2051842619,2247003344
Cayman Islands,GDP (current US$),,,,,,,,,,,,,,,,,,,4200288241,4466278065,4585949024,4281714567,4156841107,4186073104,4291004524,4405796023,4562853611,4708167233,4909322237,5166281305,5530178441,5941896608,5655358021,6060026520,6600843963
Central African Republic,GDP (current US$),1264899288,1233930281,1440711459,1377374987,1411917553,1278781262,851174356.8,1115389674,1007791127,937741513,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523,1272360517,1337894379,1461859762,1699811295,1993407888,2067381665,2142591540,2437982705,2510126512,1691544110,1894813389,1695825714,1825018145,2072349973,2220979146,2221301351,2326720900,2516498412,2382618615
Chad,GDP (current US$),1482597298,1433686312,1738605558,1877137982,1881847670,1463251164,1179837963,1445919895,1607345356,1544689577,1744794531,1534673583,1388506772,1710843377,1997005709,2742815072,4422855661,8655892393,9709626596,10865385132,13385593990,12317614054,14058506664,16685349674,17892228570,17865316886,18144336904,14559599500,13026289836,13349041409,15327000249,14905517743,14932897821,16871937698,17828508290
Chile,GDP (current US$),26174858614,30101767991,33428580448,38232330917,46538895686,49934943321,57438273591,73820425702,78584098984,85741415285,81990010704,75578685736,78339750721,71574739561,70264045939,76492579644,99075985774,1.22294E+11,1.53844E+11,1.72491E+11,1.79895E+11,1.71778E+11,2.17051E+11,2.51383E+11,2.67025E+11,2.77395E+11,2.59561E+11,2.4245E+11,2.49345E+11,2.76154E+11,2.95858E+11,2.78285E+11,2.54042E+11,3.15326E+11,3.01227E+11
