Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,2018,2019,2020,2021,2022
Suriname, World,Import,  All Products,AHS Weighted Average (%),10.54469784,8.718198537,8.718198537,8.426162986,7.797139049
Sweden, World,Import,  All Products,AHS Weighted Average (%),1.72260841,1.923109855,1.833852719,1.601863195,1.385922721
Switzerland, World,Import,  All Products,AHS Weighted Average (%),1.697276183,6.121958269,1.359848211,1.402125894,1.332921299
Tajikistan, World,Import,  All Products,AHS Weighted Average (%),,6.371673324,3.933157444,2.306677001,
Tanzania, World,Import,  All Products,AHS Weighted Average (%),8.552761301,8.367220449,8.939888585,8.671275774,9.090077116
Thailand, World,Import,  All Products,AHS Weighted Average (%),1.842837408,6.602333398,6.778247763,3.145653255,3.793560484
Togo, World,Import,  All Products,AHS Weighted Average (%),12.84862966,10.98464569,10.98464569,10.73118335,13.90536498
Trinidad and Tobago, World,Import,  All Products,AHS Weighted Average (%),7.222724683,10.78406488,10.72256053,8.865491814,7.511073849
Turkey, World,Import,  All Products,AHS Weighted Average (%),2.503645775,3.126453524,2.85451905,3.224010072,4.366522926
Uganda, World,Import,  All Products,AHS Weighted Average (%),8.009750833,8.046273914,8.093928261,8.671145346,8.160190714
Ukraine, World,Import,  All Products,AHS Weighted Average (%),1.558696502,5.334421006,1.665719152,1.712958883,1.856280533
United Arab Emirates, World,Import,  All Products,AHS Weighted Average (%),4.398004797,3.9409507,3.282909819,2.634317754,2.848777103
United Kingdom, World,Import,  All Products,AHS Weighted Average (%),1.91826384,1.794555038,1.638294236,0.717232577,1.021525317
United States, World,Import,  All Products,AHS Weighted Average (%),1.591779814,1.577116723,1.516905393,1.482439707,1.562509125
Uruguay, World,Import,  All Products,AHS Weighted Average (%),5.347758645,5.330359891,5.289753361,5.253513353,4.845872193
Uzbekistan, World,Import,  All Products,AHS Weighted Average (%),,,2.63373647,2.558577754,
Vietnam, World,Import,  All Products,AHS Weighted Average (%),4.392130636,1.656410942,1.336797538,1.170633463,1.072655311
Zambia, World,Import,  All Products,AHS Weighted Average (%),3.391121126,,4.815269931,4.809927342,42.84277089
Zimbabwe, World,Import,  All Products,AHS Weighted Average (%),14.18144047,12.40965047,12.35177388,11.36635017,
